University_link,Picture_Url,University_Name,nation_flag_picture,Country,City,Rank_In_World,Description,Global_Score,Enrollment,country_latitude,country_longitude,city_latitude,city_longitude
https://www.usnews.com/education/best-global-universities/harvard-university-166027,https://www.usnews.com/object/image/0000014e-d02b-d0b6-afdf-d03b72820000/$150727harvard?size=responsive300&update-time=1444057405951,Harvard University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Cambridge (U.S.),#1,"Founded in 1636, Harvard University is the oldest higher education institution in the U.S. The bulk of Harvard's...",100.0,"21,887",39.7837304,-100.445882,14.5706911,121.0795564
https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683,https://www.usnews.com/object/image/0000014e-d05f-d0b6-afdf-d05f34b90000/$150727MIT?size=responsive300&update-time=1535646171759,Massachusetts Institute of Technology (MIT),https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Cambridge (U.S.),#2,"Massachusetts Institute of Technology, founded in 1861, is located in Cambridge, Massachusetts, near Boston. Around...",97.7,"11,415",39.7837304,-100.445882,14.5706911,121.0795564
https://www.usnews.com/education/best-global-universities/stanford-university-243744,https://www.usnews.com/object/image/0000016c-9bb2-d1ec-a97f-9bba269e0000/$190816stanford_university0?size=responsive300&update-time=,Stanford University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Stanford,#3,"Stanford University was founded in 1885 and is located in California’s Bay Area, around 30 miles south of San Francisco...",95.2,"16,164",39.7837304,-100.445882,37.4265407,-122.17030545534064
https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635,https://www.usnews.com/object/image/0000014e-d06d-d8a0-adee-fffdae2b0000/$150727Berkeley?size=responsive300&update-time=1558448629952,University of California Berkeley,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Berkeley,#4,The University of California—Berkeley is situated roughly 15 miles from San Francisco in what is known as the Bay Area...,88.7,"40,921",39.7837304,-100.445882,37.8708393,-122.272863
https://www.usnews.com/education/best-global-universities/university-of-oxford-503637,https://www.usnews.com/object/image/0000014e-d0b5-d0b6-afdf-d0b7fab40000/$150727Oxford?size=responsive300&update-time=1438090160344,University of Oxford,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/GBR.svg,United Kingdom,Oxford,#5,"The exact date of the University of Oxford’s founding is unknown, but the school traces its roots back to at least 1096...",86.8,,54.7023545,-3.2765753,51.7520131,-1.2578499
https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948,https://www.usnews.com/object/image/00000155-82e0-d393-a9f5-fae850c30000/$160624_university_of_washington?size=responsive300&update-time=1466789774392,University of Washington Seattle,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Seattle,#6,The University of Washington is a public institution that was founded in 1861. The school's oldest and largest campus in...,86.6,"47,727",39.7837304,-100.445882,47.6038321,-122.330062
https://www.usnews.com/education/best-global-universities/columbia-university-190150,https://www.usnews.com/object/image/0000014e-d115-d0b6-afdf-d1177b780000/$150727Columbia?size=responsive300&update-time=1476994392682,Columbia University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,New York City,#7,Columbia University is a private institution that was founded in 1754. It is located in the Upper West Side of New York...,86.5,"21,781",39.7837304,-100.445882,40.7127281,-74.0060152
https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149,https://www.usnews.com/object/image/0000014e-d0dd-d0b6-afdf-d0dfa5e00000/$150727Cambridge?size=responsive300&update-time=1475263504175,University of Cambridge,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/GBR.svg,United Kingdom,Cambridge (U.K.),#8,"The University of Cambridge, located around 60 miles north of London, traces its history back to 1209. Around 19,000...",86.1,"20,385",54.7023545,-3.2765753,52.2055314,0.1186637
https://www.usnews.com/education/best-global-universities/california-institute-of-technology-110404,https://www.usnews.com/object/image/0000014e-d0ea-d0b6-afdf-d0fa07120000/$150727Caltech?size=responsive300&update-time=1438024214020,California Institute of Technology,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Pasadena,#9,"The California Institute of Technology, known as Caltech, was founded in 1891 as Throop University and received its...",85.6,"2,237",39.7837304,-100.445882,34.1476452,-118.1444779
https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928,https://www.usnews.com/object/image/00000155-82e7-d393-a9f5-faefdefc0000/$160624_johns_hopkins_university?size=responsive300&update-time=1466789856391,Johns Hopkins University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Baltimore,#10,Johns Hopkins University is a private institution that was founded in 1876. The school has campuses located in and...,84.7,"17,584",39.7837304,-100.445882,39.2908816,-76.610759
https://www.usnews.com/education/best-global-universities/yale-university-130794,https://www.usnews.com/object/image/00000148-c6fa-d81c-a5f8-f6fb25e40000/$140930_Yale?size=responsive300&update-time=1412088338375,Yale University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,New Haven,#11,"Yale University was founded in 1701, making it one of the oldest institutions of higher education in the U.S. The...",84.6,"13,482",39.7837304,-100.445882,41.3082138,-72.9250518
https://www.usnews.com/education/best-global-universities/university-college-london-501693,https://www.usnews.com/object/image/00000157-8cae-dca0-ad7f-ccbf42550000/$161003_UCL?size=responsive300&update-time=1475534101225,University College London,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/GBR.svg,United Kingdom,London (U.K.),#12,"University College London, or UCL, is a public institution that was founded in 1826. It was the third university...",84.4,"36,900",54.7023545,-3.2765753,51.5073359,-0.12765
https://www.usnews.com/education/best-global-universities/imperial-college-london-505571,https://www.usnews.com/object/image/00000152-12d6-dafd-add2-b3f6ec120000/$160105_ImperialCollegeLondon?size=responsive300&update-time=1467838338695,Imperial College London,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/GBR.svg,United Kingdom,London (U.K.),#13,Imperial College London is a public institution that was founded in 1907. The university was previously a college of the...,84.3,"18,455",54.7023545,-3.2765753,51.5073359,-0.12765
https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662,https://www.usnews.com/object/image/0000014e-d0f0-d8a0-adee-fff068d40000/$150727UCLA?size=responsive300&update-time=1438024763242,University of California Los Angeles,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Los Angeles,#14,"The University of California—Los Angeles, commonly referred to as UCLA, is a public institution that was founded in...",84.2,"43,289",39.7837304,-100.445882,34.0536909,-118.242766
https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062,https://www.usnews.com/object/image/00000147-d5c9-d2c9-a37f-ddffc0770000/$140814_upenn_courtyard_EDITORIALONLY?size=responsive300&update-time=1408993165080,University of Pennsylvania,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Philadelphia,#15,"The University of Pennsylvania, also known as Penn, was founded in 1740. The private, Ivy League institution is located...",84.0,"21,453",39.7837304,-100.445882,39.9527237,-75.1635262
https://www.usnews.com/education/best-global-universities/princeton-university-186131,https://www.usnews.com/object/image/00000155-82f6-d393-a9f5-fafea4040000/$160624_princeton?size=responsive300&update-time=1466789902421,Princeton University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Princeton,#16,"Princeton University was founded in 1746, making it one of the oldest higher education institutions in the U.S. The...",83.9,,39.7837304,-100.445882,40.3492744,-74.6592958
https://www.usnews.com/education/best-global-universities/university-of-toronto-499968,https://www.usnews.com/object/image/00000155-8341-d393-a9f5-fbe9b3ad0000/$160624_university_of_toronto?size=responsive300&update-time=1558360216697,University of Toronto,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/CAN.svg,Canada,Toronto,#18,The University of Toronto is a public institution that was founded in 1827. Around 80 percent of its students study at...,83.8,"77,468",61.0666922,-107.991707,43.6534817,-79.3839347
https://www.usnews.com/education/best-global-universities/university-of-michigan-170976,https://www.usnews.com/object/image/00000155-8352-d3ec-a9fd-cbdf64dd0000/$160624_university_of_michigan?size=responsive300&update-time=1467820566023,University of Michigan,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Ann Arbor,#19,The University of Michigan—Ann Arbor is a public institution that was founded in 1817 and made the city of Ann Arbor its...,83.4,"46,146",39.7837304,-100.445882,42.2681569,-83.7312291
https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680,https://www.usnews.com/object/image/00000148-a3d3-d3b0-a3fc-b3dbb41f0000/$140923_UniversityofCaliforniaSanDiego?size=responsive300&update-time=1442948636561,University of California San Diego,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,La Jolla,#20,The University of California—San Diego is a public institution that was established in 1960. It is located in the La...,83.3,,39.7837304,-100.445882,32.8401623,-117.2740777
https://www.usnews.com/education/best-global-universities/cornell-university-190415,https://www.usnews.com/object/image/00000158-2636-d7c3-a3ff-f7767d480000/$161102_Cornell?size=responsive300&update-time=1479223700443,Cornell University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Ithaca,#21,"Cornell University is a private institution that was founded in 1865. The Ivy League school is located in Ithaca, New...",82.9,"24,027",39.7837304,-100.445882,42.4396039,-76.4968019
https://www.usnews.com/education/best-global-universities/university-of-chicago-144050,https://www.usnews.com/object/image/00000147-f4cb-d2c9-a37f-fdffc2c00000/$140820_universityofchicagocampus?size=responsive300&update-time=1444057324733,University of Chicago,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Chicago,#22,The University of Chicago is a private institution that was founded in 1890. The university is located in Chicago...,82.5,,39.7837304,-100.445882,41.8755616,-87.6244212
